g_erst,g_art,g_nr
"Schmid Claudio (SVP, Bülach)", Parlamentarische Initiative,6
"Amrein Hans-Peter (SVP, Küsnacht)", Parlamentarische Initiative,4
"Hoffmann Benedikt (SVP, Zürich)", Parlamentarische Initiative,4
Kantonsrat Geschäftsleitung, Parlamentarische Initiative,4
"Langhart Konrad (SVP, Oberstammheim)", Parlamentarische Initiative,4
"Marty Maria Rita (EDU, Volketswil)", Parlamentarische Initiative,4
"Gantner Alex (FDP, Maur)", Parlamentarische Initiative,3
"Kommission für Energie, Verkehr und Umwelt", Parlamentarische Initiative,3
"Schmid Stefan (SVP, Niederglatt)", Parlamentarische Initiative,3
"Bourgeois Marc (FDP, Zürich)", Parlamentarische Initiative,2
"Brunner Robert (Grüne, Steinmaur)", Parlamentarische Initiative,2
"Farner Martin (FDP, Oberstammheim)", Parlamentarische Initiative,2
"Feldmann Stefan (SP, Uster)", Parlamentarische Initiative,2
"Häuptli Daniel (GLP, Zürich)", Parlamentarische Initiative,2
"Loss Davide (SP, Adliswil)", Parlamentarische Initiative,2
"Pfister Ulrich (SVP, Egg)", Parlamentarische Initiative,2
"Rigoni Silvia (Grüne, Zürich)", Parlamentarische Initiative,2
"Spillmann Moritz (SP, Ottenbach)", Parlamentarische Initiative,2
"Steiner Kathy (Grüne, Zürich)", Parlamentarische Initiative,2
"Sulser Jürg (SVP, Otelfingen)", Parlamentarische Initiative,2
"Alder Ronald (GLP, Ottenbach)", Parlamentarische Initiative,1
"Balmer-Schiltknecht Bettina (FDP, Zürich)", Parlamentarische Initiative,1
"Berger Antoine (FDP, Kilchberg)", Parlamentarische Initiative,1
"Biber Michael (FDP, Bachenbülach)", Parlamentarische Initiative,1
"Bischoff Markus (AL, Zürich)", Parlamentarische Initiative,1
"Bloch Beat (CSP, Zürich)", Parlamentarische Initiative,1
"Boesch Hans-Jakob (FDP, Zürich)", Parlamentarische Initiative,1
"Büchi-Wild Renate (SP, Richterswil)", Parlamentarische Initiative,1
"Bütikofer Kaspar (AL, Zürich)", Parlamentarische Initiative,1
"Dünki-Bättig Michèle (SP, Glattfelden)", Parlamentarische Initiative,1
"Egli Hans (EDU, Steinmaur)", Parlamentarische Initiative,1
"Erni Jonas (SP, Wädenswil)", Parlamentarische Initiative,1
"Fehr Düsel Nina (SVP, Küsnacht)", Parlamentarische Initiative,1
"Furrer Astrid (FDP, Wädenswil)", Parlamentarische Initiative,1
"Galeuchet David John (Grüne, Bülach)", Parlamentarische Initiative,1
"Gehrig Sonja (GLP, Urdorf)", Parlamentarische Initiative,1
"Geistlich Andreas (FDP, Schlieren)", Parlamentarische Initiative,1
"Guyer Esther (Grüne, Zürich)", Parlamentarische Initiative,1
"Hauser Matthias (SVP, Hüntwangen)", Parlamentarische Initiative,1
"Huber Beat (SVP, Buchs)", Parlamentarische Initiative,1
"Hugentobler Hanspeter (EVP, Pfäffikon)", Parlamentarische Initiative,1
"Huonker Laura (AL, Zürich)", Parlamentarische Initiative,1
"Häusler-Michel Edith (Grüne, Kilchberg)", Parlamentarische Initiative,1
"Isler René (SVP, Winterthur)", Parlamentarische Initiative,1
Justizkommission, Parlamentarische Initiative,1
"Koller Prisca (FDP, Hettlingen)", Parlamentarische Initiative,1
Kommission für Bildung und Kultur, Parlamentarische Initiative,1
"Kündig Jörg (FDP, Gossau)", Parlamentarische Initiative,1
"Lais Ruedi (SP, Wallisellen)", Parlamentarische Initiative,1
"Lenggenhager Marcel (BDP, Gossau)", Parlamentarische Initiative,1
"Mani Tobias (EVP, Wädenswil)", Parlamentarische Initiative,1
"Mischol Tumasch (SVP, Hombrechtikon)", Parlamentarische Initiative,1
"Müller Christian (FDP, Steinmaur)", Parlamentarische Initiative,1
"Pfalzgraf Hannah (SP, Mettmenstetten)", Parlamentarische Initiative,1
"Pflugshaupt Elisabeth (SVP, Gossau)", Parlamentarische Initiative,1
"Sarbach Martin (SP, Zürich)", Parlamentarische Initiative,1
"Schmid Lorenz (CVP, Männedorf)", Parlamentarische Initiative,1
"Tognella-Geertsen Birgit (SP, Zürich)", Parlamentarische Initiative,1
"Truninger René (SVP, Illnau-Effretikon)", Parlamentarische Initiative,1
"Vollenweider Peter (FDP, Stäfa)", Parlamentarische Initiative,1
"Wicki Monika (SP, Zürich)", Parlamentarische Initiative,1
"Widmer Céline (SP, Zürich)", Parlamentarische Initiative,1
"Wiederkehr Josef (CVP, Dietikon)", Parlamentarische Initiative,1
"Wäfler Daniel (SVP, Gossau)", Parlamentarische Initiative,1
"Zeugin Michael (GLP, Winterthur)", Parlamentarische Initiative,1
"Ziegler Christoph (GLP, Elgg)", Parlamentarische Initiative,1
