beteiligte,geschaeft,name,nr,year
"Brügger Leopold, Erstunterzeichner(in)","Geschäftsart: Einzelinitiative
Zugeteilt an: keine
Direktion:
Pendent bei: Kantonsrat","390/2018
Erreichung einer gleichberechtigungskonformen Bundesverfassung",390,2018
"Terekhov Artur, Erstunterzeichner(in)","Geschäftsart: Einzelinitiative
Zugeteilt an: keine
Direktion:
Pendent bei: Kantonsrat","391/2018
Für mehr Wettbewerb und günstigere Prozessführung zugleich – kantonalen Spielraum bzgl. berufsmässige Vertretung in Zivilprozessen nutzen",391,2018
"Bamert Ueli (SVP, Zürich), Erstunterzeichner(in)
Langhart Konrad (SVP, Oberstammheim), Mitunterzeichner(in)
Sulser Jürg (SVP, Otelfingen), Mitunterzeichner(in)","Geschäftsart: Dringliches Postulat
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","394/2018
Der Lotteriefonds gehört den Zürcherinnen und Zürchern",394,2018
"Sulser Jürg (SVP, Otelfingen), Erstunterzeichner(in)
Bamert Ueli (SVP, Zürich), Mitunterzeichner(in)
Langhart Konrad (SVP, Oberstammheim), Mitunterzeichner(in)","Geschäftsart: Dringliches Postulat
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","395/2018
Sinnvolle Verwendung von Lotteriefondsgeldern zugunsten von über 50-jährigen Langzeitarbeitslosen",395,2018
"Schmid Stefan (SVP, Niederglatt), Erstunterzeichner(in)
Ledergerber Domenik (SVP, Herrliberg), Mitunterzeichner(in)
Haab Martin (SVP, Mettmenstetten), Mitunterzeichner(in)","Geschäftsart: Dringliches Postulat
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","396/2018
Meliorationen: Bericht über werterhaltende Massnahmen",396,2018
"Bourgeois Marc (FDP, Zürich), Erstunterzeichner(in)
Borer Anita (SVP, Uster), Mitunterzeichner(in)
Ziegler Christoph (GLP, Elgg), Mitunterzeichner(in)","Geschäftsart: Postulat
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","397/2018
Zurückstellen von Kindergartenkindern um halbe Jahre ermöglichen",397,2018
"Katumba Andrew (SP, Zürich), Erstunterzeichner(in)
Neukom Martin (Grüne, Winterthur), Mitunterzeichner(in)
Wirth Thomas (GLP, Hombrechtikon), Mitunterzeichner(in)","Geschäftsart: Parlamentarische Initiative
Zugeteilt an: keine
Direktion:
Pendent bei: Kantonsrat","398/2018
Vorkaufsrecht der Standortgemeinde bei Veräusserun-gen von kantonalen Immobilien",398,2018
"Ledergerber Domenik (SVP, Herrliberg), Erstunterzeichner(in)
Marty Maria Rita (EDU, Volketswil), Mitunterzeichner(in)
Wäfler Daniel (SVP, Gossau), Mitunterzeichner(in)","Geschäftsart: Dringliche Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","399/2018
Rahmenabkommen mit der EU - die Auswirkungen auf den Kanton Zürich",399,2018
"Brunner Robert (Grüne, Steinmaur), Erstunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","400/2018
Bewirtschaftung Uferbereich Fliessgewässer",400,2018
"Huonker Laura (AL, Zürich), Erstunterzeichner(in)
Sahli Manuel (AL, Winterthur), Mitunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","401/2018
Notunterkünfte ohne Not",401,2018
"Wäfler Daniel (SVP, Gossau), Erstunterzeichner(in)
Zahler Erika (SVP, Boppelsen), Mitunterzeichner(in)
Marty Maria Rita (EDU, Volketswil), Mitunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","402/2018
Glaubwürdigkeit des Zürcher Justizvollzugs in der Öffentlichkeit",402,2018
"Loss Davide (SP, Adliswil), Erstunterzeichner(in)
Schmid Lorenz (CVP, Männedorf), Mitunterzeichner(in)
Rueff-Frenkel Sonja (FDP, Zürich), Mitunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","403/2018
Werden die Zivilstandsämter allmählich zu Repressionsbehörden?",403,2018
"Balmer-Schiltknecht Bettina (FDP, Zürich), Erstunterzeichner(in)
Bourgeois Marc (FDP, Zürich), Mitunterzeichner(in)
Geistlich Andreas (FDP, Schlieren), Mitunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","404/2018
Attraktivität des Standortes Zürich für medizinische Grundlagenforschung",404,2018
"Wisskirchen Mark Anthony (EVP, Kloten), Erstunterzeichner(in)
Sommer Daniel (EVP, Affoltern am Albis), Mitunterzeichner(in)
Günthard Fitze Barbara (EVP, Winterthur), Mitunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","405/2018
Rassismus im Sport",405,2018
"Farner Martin (FDP, Oberstammheim), Erstunterzeichner(in)
Mischol Tumasch (SVP, Hombrechtikon), Mitunterzeichner(in)
Hübscher Martin (SVP, Wiesendangen), Mitunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","406/2018
Gibt es Verbesserungspotenzial bei der Arbeitet der SVA?",406,2018
"Wicki Monika (SP, Zürich), Erstunterzeichner(in)
Fehr Thoma Karin (Grüne, Uster), Mitunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","407/2018
Gefahr der Ausnützung von Praktikantinnen und Praktikanten erkannt – Was leisten die Richtlinien der TPK zum Umgang mit Einführungspraktika tatsächlich?",407,2018
"Schmid Stefan (SVP, Niederglatt), Erstunterzeichner(in)","Geschäftsart: Anfrage
Zugeteilt an: keine
Direktion:
Pendent bei: Regierungsrat","408/2018
Anträge der KJZ im Bezirk Dielsdorf zu teuren Familienbegleitungen",408,2018
